Character,Line,Season,Episode
Ann Perkins,Chris can be very Paternal.,5,14
Andy Dwyer,I look around this room.,5,14
Andy Dwyer,"If it weren't for Leslie Knope, none of us would be here.",5,14
Andy Dwyer,"So, Leslie, this song, which is for Li'l Sebastian, is for you.",5,14
Donna Meagle,"Up in horsey heaven, here's the thing you trade your legs for angel's wings and once we've all said good-bye you take a running leap, and you learn to fly",5,14
Andy Dwyer,"Bye-bye, Li'l Sebastian, miss you in the saddest fashion",5,14
Leslie Knope,There were a lot of signs that Ben and I miss you in the saddest fashion should get married tonight.,5,14
Leslie Knope,"But, truth be told, we just really wanted to get married.",5,14
Leslie Knope,"When you're in love, everything seems like a sign.",5,14
Leslie Knope,I love my husband.,5,14
Leslie Knope,I love my job.,5,14
Leslie Knope,And I love my friends.,5,14
Leslie Knope,Even though they really can't handle their booze.,5,14
Ben Wyatt,"Hey, we should just go, right?",5,14
Ben Wyatt,Careful.,5,14
Andy Dwyer,Spread your wings and fly spread your wings and fly,5,14
Ron Swanson,It's not rocket science.,5,14
Ron Swanson,"I removed the sconce Fired up my grandfather's torch, heated up the pieces in a cast-iron bucket.",5,14
Ron Swanson,Liquefied the metal.,5,14
Ron Swanson,Pour it into a mold.,5,14
Ron Swanson,Obviously keep it over a low flame to achieve a nice temper.,5,14
Ron Swanson,Cooled it in antifreeze.,5,14
Ron Swanson,And just forged and shaped the rings.,5,14
Ron Swanson,"Any moron with a crucible, an acetylene torch, and a cast-iron waffle maker could have done the same.",5,14
Ron Swanson,Whole thing only took me about 20 minutes.,5,14
Ron Swanson,People who buy things are suckers.,5,14
,,5,14
,,5,14
,Season: 5 Episode: 15,5,15
Leslie Knope,"Well, the honeymoon was amazing.",5,15
Leslie Knope,We saw the bus stop where a young Barack Obama used to sit and wait for the bus.,5,15
Leslie Knope,Theoretically.,5,15
Ben Wyatt,It's possible.,5,15
Leslie Knope,Then we went and visited Honolulu City Hall.,5,15
April Ludgate,Shut up.,5,15
Leslie Knope,You know.,5,15
April Ludgate,"Oh, my God, what was it like?",5,15
Leslie Knope,It was amazing.,5,15
Leslie Knope,"Well, it looked amazing, but it was closed.",5,15
April Ludgate,"Oh, my God, bummer.",5,15
Leslie Knope,"Okay, I have presents!",5,15
Leslie Knope,"Um Chris, we got you an Acai tree because the Acai berry is a superfood.",5,15
Chris Traeger,And a super gift.,5,15
Leslie Knope,"Donna, we got you some coffee, because you said, and I quote, ""I like my coffee like I like my men.",5,15
Leslie Knope,"Dark, rich, and full bodied.""",5,15
Donna Meagle,"Yes, indeed.",5,15
Leslie Knope,"Ann, we got you some very rare Hawaiian fertility tea, guaranteed to help you have a baby.",5,15
Ann Perkins,That's so nice.,5,15
Ann Perkins,Where'd you find that?,5,15
Leslie Knope,"Well, the busboy at our restaurant told us about a guy who we met in a parking lot, and then he had a backpack full of this stuff, and I'm just realizing now that it's not tea.",5,15
Leslie Knope,And I'm gonna throw it away.,5,15
Ben Wyatt,"Ron, this is the Hawaiian god of anger.",5,15
Ben Wyatt,It reminded us of you when you're at work.,5,15
Ron Swanson,A handsome gentleman.,5,15
Leslie Knope,We did not forget Jerry.,5,15
Ben Wyatt,"Right, right.",5,15
Leslie Knope,"We got Jerry some earbuds, and a bag of peanuts, and the Skymall catalog.",5,15
Jerry Gergich,Same thing you got me from your trip to Washington!,5,15
Ben Wyatt,"Tom, we got you an autographed portrait of your personal hero.",5,15
Tom Haverford,No way!,5,15
Tom Haverford,Scott Caan from Hawaii five0!,5,15
Ben Wyatt,"April, as requested, we threw that box you gave us into that volcano.",5,15
April Ludgate,Thank you.,5,15
Ben Wyatt,"Andy, as you requested, got you a three pack of white Tshirts from Target.",5,15
Andy Dwyer,Thank you.,5,15
Andy Dwyer,All mine are dirty.,5,15
Andy Dwyer,"Thank you, Hawaii.",5,15
Leslie Knope,Thank you so much.,5,15
Leslie Knope,It's great to be here at the Pawnee Correspondents' Lunch.,5,15
Leslie Knope,"There's so many wonderful, talented journalists here.",5,15
Leslie Knope,Also here are some reporters from the Pawnee Sun.,5,15
Leslie Knope,"Oh, hey, hey.",5,15
Leslie Knope,I love the Pawnee Sun.,5,15
Leslie Knope,Some people say that it's a useless tabloid.,5,15
Leslie Knope,But I don't think it's useless.,5,15
Leslie Knope,I think it's great for housebreaking puppies.,5,15
Leslie Knope,I am prepping for the Pawnee Correspondents' Lunch.,5,15
Leslie Knope,It's an annual affair where the media and the government roast each other.,5,15
Leslie Knope,My number one target the Pawnee Sun.,5,15
Leslie Knope,they rake me over the coals.,5,15
Leslie Knope,"Today, I take those burning coals, I shove them back down their throats, and I watch their melting flesh drip off their worthless faces!",5,15
Leslie Knope,It's all in good fun.,5,15
Leslie Knope,"Okay, I need more jokes, people.",5,15
Leslie Knope,"Ben is having his first day at work, so he cannot help me.",5,15
Leslie Knope,So I need you guys to pick up the slack.,5,15
Ron Swanson,I have a joke for you.,5,15
Leslie Knope,Okay.,5,15
Ron Swanson,The government in this town is excellent and uses your tax dollars efficiently.,5,15
Leslie Knope,"That's not really a joke, Ron.",5,15
Ron Swanson,I disagree.,5,15
Ron Swanson,I find it hilarious.,5,15
Chris Traeger,Ann Perkins!,5,15
Ann Perkins,"Hey, Chris!",5,15
Ann Perkins,Got to run to a meeting.,5,15
Ann Perkins,With Ron.,5,15
Chris Traeger,Great idea!,5,15
Chris Traeger,I'll run to my next meeting.,5,15
Ann Perkins,"Sorry, the door was open.",5,15
Ron Swanson,I wish this office had only walls.,5,15
Ann Perkins,"Chris broke up with his girlfriend a week ago, and I have decided to ask him to be the father of my baby.",5,15
Ann Perkins,Except I cannot work up the nerve to do it.,5,15
Ann Perkins,Turns out they don't make greeting cards for asking your exboyfriend if he will artificially inseminate you.,5,15
Ann Perkins,"Actually, Ron, I could use your advice on how to be blunt and honest.",5,15
Ann Perkins,"I want my friend to do something for me, and I don't know how to ask him.",5,15
Ron Swanson,What do you want him to do?,5,15
Ann Perkins,Plant ficuses.,5,15
Ann Perkins,In my front yard.,5,15
Ann Perkins,Grossest metaphor ever.,5,15
Ron Swanson,I've seen your house.,5,15
Ron Swanson,You'd have more success if he planted ficuses in your backyard.,5,15
Ann Perkins,"No, I don't think so.",5,15
Ann Perkins,"Anyway, what if he thinks I'm asking too much of him, and I ask him to plant the ficuses, and he doesn't want to, and he gets weird about it, and it ruins our friendship?",5,15
Ron Swanson,Then plant the damn ficuses yourself.,5,15
Ann Perkins,I wish that were possible.,5,15
Jessica Wicks,We are so excited to have you working with us here at the allnew Sweetums Foundation.,5,15
Jessica Wicks,This is your office.,5,15
Ben Wyatt,This is incredible.,5,15
Ben Wyatt,And look at that art.,5,15
Jessica Wicks,"Ah, yes.",5,15
Jessica Wicks,My late husband.,5,15
Jessica Wicks,He was so decrepit.,5,15
Ben Wyatt,I really like helping people.,5,15
Ben Wyatt,Running the new Sweetums Foundation charity allows me to do that and work in an office with more mahogany wood than currently remains in the Amazon rain forest.,5,15
Ben Wyatt,"So, win win.",5,15
Ben Wyatt,Except for the rain forest.,5,15
Jessica Wicks,I need you to select your first charity by tomorrow.,5,15
Jessica Wicks,Sweetums' public image is currently at an alltime low.,5,15
Ben Wyatt,"Yeah, there's even a rumor going around that the chocolate is made of rat parts.",5,15
Jessica Wicks,Well You know what they say about rumors.,5,15
Ben Wyatt,Yeah.,5,15
Jessica Wicks,They're mostly true.,5,15
Ben Wyatt,Including the rat thing?,5,15
Jessica Wicks,Yeah.,5,15
Jessica Wicks,What are you gonna do?,5,15
Jessica Wicks,It's where all the flavor comes from.,5,15
Jessica Wicks,"Oh, would you look at that.",5,15
Jessica Wicks,There is a smudge on my tail.,5,15
Jessica Wicks,Oh!,5,15
Jessica Wicks,All better.,5,15
Extra,"Ladies and gentlemen, welcome to the Pawnee Correspondents' Lunch, where politicians and the media make fun of each other.",5,15
Extra,"But, if you ask me, we should be making fun of the food.",5,15
Extra,"""I am not the cook.""",5,15
Leslie Knope,"Oh, well, well, well.",5,15
Leslie Knope,If it isn't Kim Terlando from the Pawnee Sun.,5,15
Leslie Knope,Do you happen to have a can opener?,5,15
Leslie Knope,'Cause I'm about to open this on you.,5,15
Kim Terlando,"Did you make that can of ""whoop ass"" for this exact moment?",5,15
Leslie Knope,"Yeah, I came prepared.",5,15
Kim Terlando,I'd expect nothing less.,5,15
Kim Terlando,Good luck with your speech.,5,15
Leslie Knope,"Uh, my speech doesn't need your luck.",5,15
Leslie Knope,It needs a Surgeon General's warning because it's so harmful to your health.,5,15
Leslie Knope,"Oh, look, it has one.",5,15
Leslie Knope,That's how ready I am.,5,15
Kim Terlando,I'm glad you're so confident.,5,15
Kim Terlando,Nice to see you.,5,15
Leslie Knope,It was nice to see you too.,5,15
Ann Perkins,"Chris, can I talk to you for a second?",5,15
Chris Traeger,Absolutely.,5,15
Chris Traeger,I cannot wait.,5,15
Chris Traeger,One second.,5,15
Chris Traeger,"Excuse me, sir.",5,15
Chris Traeger,I think I accidentally got the meat option.,5,15
Shauna Malwae-Tweep,"Yeah, and I got the veggie option.",5,15
Chris Traeger,"Shauna MalwaeTweep, my exgirlfriend.",5,15
Chris Traeger,It seems like you and I have a classic mix 'em up.,5,15
Shauna Malwae-Tweep,"Yeah, fancy meeting you here.",5,15
Chris Traeger,"This isn't awkward for you, is it?",5,15
Shauna Malwae-Tweep,"Chris, it's okay.",5,15
Shauna Malwae-Tweep,You wanna switch?,5,15
Shauna Malwae-Tweep,I'm starving.,5,15
Chris Traeger,Definitely.,5,15
Tom Haverford,Whoa!,5,15
Tom Haverford,Check out the new digs.,5,15
Tom Haverford,This place is insane.,5,15
Ben Wyatt,"Thanks for coming, guys.",5,15
Ben Wyatt,"I'm super swamped, and I need your help.",5,15
April Ludgate,Pass.,5,15
Ben Wyatt,You came down here to pass on helping me?,5,15
April Ludgate,"Yeah, I wanted to see what your face looked like when I said no.",5,15
April Ludgate,It was totally worth it.,5,15
Ben Wyatt,"Andy, are you okay?",5,15
Andy Dwyer,"Oh, I'm fine.",5,15
Andy Dwyer,It's just that life is pointless and nothing matters and I'm always tired.,5,15
Andy Dwyer,"Also, I can't sleep, I'm overeating, none of my old hobbies interest me.",5,15
April Ludgate,"Ever since Andy failed the police academy exam, his selfesteem has hit rock bottom.",5,15
April Ludgate,He's always sad and sweaty.,5,15
April Ludgate,He's usually happy and sweaty.,5,15
Ben Wyatt,"I have to pick our first charity by tomorrow, and there's a million applications.",5,15
Ben Wyatt,Can you guys help me sort 'em out?,5,15
April Ludgate,You know what?,5,15
April Ludgate,This sounds like fun.,5,15
April Ludgate,"Babe, come on.",5,15
April Ludgate,Let's help him.,5,15
April Ludgate,It'll be fun.,5,15
Tom Haverford,"Well, it sounds like you guys got it covered.",5,15
Tom Haverford,I'm gonna head out.,5,15
Tom Haverford,Actually have my own charity to attend to.,5,15
Tom Haverford,Tommy's tummy foundation.,5,15
Ben Wyatt,"Well, they bring me fancy lunches here.",5,15
Ben Wyatt,"If you stay, you can have some.",5,15
Tom Haverford,What?,5,15
Tom Haverford,"Crab, caviar?",5,15
Tom Haverford,"On behalf of Tommy's tummy foundation, I'm happy to accept this generous donation.",5,15
Extra,Please welcome Kim Terlando.,5,15
Kim Terlando,"Thank you, Martin.",5,15
Kim Terlando,It's nice to be here among all of these excellent journalists.,5,15
Kim Terlando,And also the people that work with me over at the Pawnee Sun.,5,15
Leslie Knope,Damn it.,5,15
Leslie Knope,That was my opener.,5,15
Kim Terlando,"Now I love working at the Sun, okay?",5,15
Kim Terlando,"And I know you all think it's just a useless tabloid, but it's not.",5,15
Kim Terlando,It is great.,5,15
Kim Terlando,For housebreaking puppies.,5,15
Leslie Knope,Those are my jokes.,5,15
Leslie Knope,She's stealing my jokes.,5,15
Kim Terlando,Some people say that the Sun has a problem with the truth.,5,15
Kim Terlando,"There's no problem, we just ignore it.",5,15
Leslie Knope,"Jerry, stop laughing.",5,15
Leslie Knope,Those are stolen jokes!,5,15
Leslie Knope,Totally dead.,5,15
Leslie Knope,What am I gonna do?,5,15
Leslie Knope,Oh!,5,15
Leslie Knope,"I just opened up a can of ""whoop ass"" on myself!",5,15
Councilman Milton,I remember the very first Correspondents' Lunch.,5,15
Councilman Milton,I rode here in a horse and buggy.,5,15
Councilman Milton,"No, no, no, that wasn't a joke.",5,15
Councilman Milton,I actually did.,5,15
Councilman Milton,That also was not a joke.,5,15
Leslie Knope,"Ron, Kim told all my jokes, all of them.",5,15
Leslie Knope,She must have gotten a copy of my speech.,5,15
Leslie Knope,Did anybody lose their copy?,5,15
Ann Perkins,Nope.,5,15
Chris Traeger,Right here.,5,15
Ron Swanson,Mine is right here.,5,15
Jerry Gergich,"Oh, jeez.",5,15
Leslie Knope,Go stand in the corner and think about what you've done.,5,15
Leslie Knope,And no dessert!,5,15
Leslie Knope,"I need new material, and it needs to be great, and it needs to knock people on their butts, and it needs to transcend the genre of roast comedy.",5,15
Leslie Knope,"Perkins, go.",5,15
Ann Perkins,"Oh, wow.",5,15
Ann Perkins,"Um, okay, so Councilman Milton is old, right?",5,15
Ann Perkins,And he's wearing a green tie.,5,15
Ann Perkins,"So, like, maybe there's something there, where, like, he went to school with his high school buddies that were dinosaurs.",5,15
Ann Perkins,And his tie is green.,5,15
Ann Perkins,They're green.,5,15
Leslie Knope,"Oh, Ann, you're too beautiful to be funny.",5,15
Leslie Knope,It's not your fault.,5,15
Leslie Knope,You've never had to compensate for anything.,5,15
Leslie Knope,The rest of you ugly nerds need to give me some jokes stat.,5,15
Andy Dwyer,Ben?,5,15
Andy Dwyer,Ben?,5,15
Ben Wyatt,"Yeah, Andy.",5,15
Andy Dwyer,I think I might have found something that's actually pretty cool.,5,15
Ben Wyatt,"Okay, well, just put it aside, and I'll read it later.",5,15
April Ludgate,No.,5,15
April Ludgate,"Andy found it, and he's gonna tell you about it right now.",5,15
April Ludgate,"Go, babe.",5,15
Andy Dwyer,"Uh, it's the Redwood Music Program.",5,15
Andy Dwyer,It's an after school music class for at risk kids.,5,15
Andy Dwyer,It'll keep them off the street.,5,15
April Ludgate,Whoa.,5,15
Andy Dwyer,"And the streets, as you know, are dangerous.",5,15
Andy Dwyer,Example I fell in a sewer grate once.,5,15
Andy Dwyer,I was there all day.,5,15
Andy Dwyer,"In conclusion, we cannot let our children live in the sewer any longer.",5,15
Andy Dwyer,"Redwood Music Program go, your honor, amen.",5,15
Ben Wyatt,That's a great idea.,5,15
Ben Wyatt,Anyone else come across anything good?,5,15
Ben Wyatt,Tom?,5,15
Tom Haverford,"Um, yeah.",5,15
Tom Haverford,I got a good one.,5,15
Tom Haverford,It's called the Clean Sheet Foundation.,5,15
Tom Haverford,That's my pick.,5,15
Ben Wyatt,They provide legal assistance to the KKK.,5,15
Ben Wyatt,This is your pick?,5,15
Tom Haverford,Yeah.,5,15
Tom Haverford,Can you pass the bonbons?,5,15
Joan Callamezzo,Perd Hapley is here today.,5,15
Joan Callamezzo,"Or, as Perd would say, ""My name is Perd Hapley, and the person I see here today is me.""",5,15
Perd Hapley,Everyone seems to be laughing now.,5,15
Ann Perkins,Do you see what is happening with Chris and Shauna?,5,15
Ann Perkins,They are flirting like crazy.,5,15
Ann Perkins,It's disgusting.,5,15
Ann Perkins,They're in public.,5,15
Ron Swanson,That's called a conversation.,5,15
Ann Perkins,"Ron, there are no ficuses, okay?",5,15
Ann Perkins,I wanted to ask Chris to be the father of my baby.,5,15
Ron Swanson,Good God.,5,15
Ron Swanson,And the metaphor you chose was planting ficuses in your front yard?,5,15
Ann Perkins,"I was gonna wait till he was single to ask him, but now he's flirting with Shauna again.",5,15
Ann Perkins,What do I do?,5,15
Ron Swanson,It's been nice talking to you.,5,15
Ann Perkins,What?,5,15
Leslie Knope,Maybe I should just do impressions.,5,15
Leslie Knope,"""I'ma Borat.""",5,15
Leslie Knope,There's one.,5,15
Leslie Knope,But I need to do someone that no one has heard before.,5,15
Leslie Knope,"Like, I don't know, Neve Campbell?",5,15
Leslie Knope,What does Neve Campbell sound like?,5,15
Donna Meagle,I don't know.,5,15
Leslie Knope,"Someone, [bleep] tell me what Neve Campbell sounds like.",5,15
Donna Meagle,Just keep it short and get the hell out of there.,5,15
Joan Callamezzo,Thank you.,5,15
Joan Callamezzo,Our next guest has asked me to read this.,5,15
Leslie Knope,"Oh, no.",5,15
Leslie Knope,"Oh, no, I forgot I did this.",5,15
Leslie Knope,"Joan, no",5,15
Joan Callamezzo,"Strap on your adult diapers, everyone.",5,15
Joan Callamezzo,"""Because you're about to wet yourself from laughter.",5,15
Joan Callamezzo,Give it up for Leslie Knope.,5,15
Leslie Knope,"""Whassup,"" Pawnee?",5,15
Leslie Knope,Um Borat.,5,15
Leslie Knope,"Well, that's my time.",5,15
Leslie Knope,They're giving me the light.,5,15
Leslie Knope,"So, uh, I did great.",5,15
Extra,"Thank you, Leslie Knope.",5,15
Extra,You know what they say.,5,15
Extra,"Drama is hard, and sometimes comedy is not in our wheelhouse.",5,15
Ben Wyatt,"Tom, do you have to run that right now?",5,15
Tom Haverford,"Oh, no, Ben!",5,15
Tom Haverford,These smoothies will just blend themselves!,5,15
Ben Wyatt,Okay.,5,15
Ben Wyatt,Think I have our winner.,5,15
Ben Wyatt,It's called Rural Ambucare.,5,15
Ben Wyatt,They want to buy an ambulance for people who live far away from the hospital.,5,15
April Ludgate,Ambulances are dumb.,5,15
April Ludgate,When has an ambulance ever helped anyone?,5,15
April Ludgate,What about Andy's music thing?,5,15
Ben Wyatt,"Well, this is a great service that will help a lot of needy people.",5,15
Ben Wyatt,"Sorry, Andy.",5,15
Andy Dwyer,Why?,5,15
Andy Dwyer,"No, it's totally fine.",5,15
Andy Dwyer,I'm happy for them.,5,15
Andy Dwyer,That's awesome.,5,15
Andy Dwyer,You know what I'm gonna do?,5,15
Andy Dwyer,"I'm gonna head out to, uh, the car.",5,15
Andy Dwyer,"It's a little hot in here, a little sweaty.",5,15
Tom Haverford,"Well, I'm terribly disappointed.",5,15
Tom Haverford,But I'm sure the doctors or giraffes or whatever you decided to help will be thrilled with the whatever you decided to whatever.,5,15
Tom Haverford,I'm outtie.,5,15
Tom Haverford,"Great job, team.",5,15
Ben Wyatt,What?,5,15
April Ludgate,"Ever since Andy failed the police exam, he's been really depressed.",5,15
April Ludgate,Picking out a dumb charity is the most excited he's been in weeks.,5,15
April Ludgate,You're so selfish.,5,15
Ben Wyatt,Selfish?,5,15
Ben Wyatt,I'm running a charity.,5,15
April Ludgate,"Oh, it's all about what you're doing, isn't it?",5,15
April Ludgate,Classic Ben!,5,15
Tom Haverford,"Sorry, forgot the oysters.",5,15
Tom Haverford,Great work today.,5,15
Ann Perkins,Christopher.,5,15
Ann Perkins,"""Christoefur.""",5,15
Ann Perkins,It's like you have furry toes.,5,15
Chris Traeger,Hilarious.,5,15
Ann Perkins,I have a question for you.,5,15
Ann Perkins,It's something very important.,5,15
Ann Perkins,Which is What is your Spirit animal?,5,15
Chris Traeger,Jaguar.,5,15
Chris Traeger,Why do you ask?,5,15
Ann Perkins,Doing a survey.,5,15
Ann Perkins,"Well, survey completed.",5,15
Ann Perkins,So take her easy.,5,15
Perd Hapley,"Uh, you didn't ask me.",5,15
Perd Hapley,"But if you had, the answer I would have given is Doggie.",5,15
Ron Swanson,"Chris, Ann wants to ask you something right now.",5,15
Ron Swanson,"Go, Ann.",5,15
Ann Perkins,In front of Perd?,5,15
Ron Swanson,Yes.,5,15
Ron Swanson,No more delays.,5,15
Ron Swanson,Go.,5,15
Ann Perkins,I want to have a baby.,5,15
Ann Perkins,Will you be the sperm donor?,5,15
Perd Hapley,The story of this situation is it's extremely personal.,5,15
Ann Perkins,Think it over.,5,15
Ann Perkins,Bye.,5,15
Jerry Gergich,"Leslie, permission to leave the corner.",5,15
Leslie Knope,Denied.,5,15
Jerry Gergich,"But, look, I did not lose your speech after all.",5,15
Jerry Gergich,I forgot.,5,15
Jerry Gergich,I put it in my shoe for safekeeping.,5,15
Jerry Gergich,"It's a little moist, but it is still here.",5,15
Leslie Knope,"Well, then how did Kim get the speech?",5,15
Leslie Knope,Wait a minute.,5,15
Leslie Knope,The Pawnee Sun has been one step ahead of me for months.,5,15
Leslie Knope,They knew that Kernston's withdrew its sponsorship of the Commons before I even announced it.,5,15
Leslie Knope,They asked me about the sewage eruption in Ramsett Park right after Ron emailed me about it.,5,15
Leslie Knope,And Kim asked me if I liked the first season Army Wives just moments after Netflix did.,5,15
Leslie Knope,The Pawnee Sun hacked my email.,5,15
Leslie Knope,I've been hacked!,5,15
Donna Meagle,"Okay, smashing your phone won't stop hacking.",5,15
Jerry Gergich,That's also my phone.,5,15
Leslie Knope,"Jerry, quiet!",5,15
Leslie Knope,This is serious.,5,15
Leslie Knope,"Well, the police said they're gonna launch an investigation to see whether or not I was hacked.",5,15
Leslie Knope,"But it's very complicated, and it could take up to a month.",5,15
Chris Traeger,There is nothing more disgusting than an invasion of privacy.,5,15
Chris Traeger,And I should know.,5,15
Chris Traeger,I've had many women steal my undershirts.,5,15
Leslie Knope,I have a press conference about the Pawnee Commons in two hours.,5,15
Leslie Knope,"So I need to go through every email that I've ever sent, ever.",5,15
Leslie Knope,I need to know what they might use against me.,5,15
Ron Swanson,You can't hack into a typewriter.,5,15
Ron Swanson,That's all I have to say.,5,15
Leslie Knope,"Can it, Unabomber.",5,15
Leslie Knope,This is an emergency.,5,15
Andy Dwyer,"Hey, Ben.",5,15
Ben Wyatt,Hi.,5,15
Andy Dwyer,You wanted to talk to me?,5,15
Andy Dwyer,Or probably not.,5,15
Andy Dwyer,"I mean, I don't even want to talk to me.",5,15
Ben Wyatt,"No, I wanted to talk to you.",5,15
Andy Dwyer,Oh.,5,15
Ben Wyatt,"I just wanted to thank you so much for your help, Andy.",5,15
Ben Wyatt,Sorry we didn't wind up choosing the after school music program.,5,15
Andy Dwyer,I totally get it.,5,15
Andy Dwyer,"The music program would be effective, but the ambulance is gonna help people right now who are in trouble and will probably look good in the media.",5,15
Ben Wyatt,"Yeah, that's exactly right.",5,15
Extra,"Your morning tea, Mr. Wyatt.",5,15
Andy Dwyer,Imagine all the money you could save if you didn't have to pay for this expensive stuff.,5,15
Andy Dwyer,Am I right?,5,15
Andy Dwyer,"You could help, like, a zillion more charities.",5,15
Ben Wyatt,"Yeah, that's also exactly right.",5,15
Ben Wyatt,I feel like I should have thought of that.,5,15
Andy Dwyer,"Well, let me tell you something else that's interesting, Ben.",5,15
Ben Wyatt,What?,5,15
Andy Dwyer,I farted five minutes ago.,5,15
Andy Dwyer,Didn't even smell it till just now.,5,15
Andy Dwyer,That's how tight my pants are.,5,15
Andy Dwyer,"Anyhow Later days, dudes.",5,15
Leslie Knope,"Okay, nothing too bad so far.",5,15
Donna Meagle,"There's a ""Top Ten Ben's butt 2012 slide show.""",5,15
Donna Meagle,You emailed it to Ben and Ann And The Huffington Post?,5,15
Leslie Knope,"Yeah, I'm not embarrassed by that.",5,15
Ron Swanson,Who is Todo Toadfoot?,5,15
Ron Swanson,"You wrote him an email about riding your dragons to Pelennor Fields and signed it ""Dimple Broadbelt of Buckland.""",5,15
Leslie Knope,"Yes, that's Ben and my fantasy Lord Of The Rings pen pal letters.",5,15
Leslie Knope,I am a little embarrassed by that.,5,15
Chris Traeger,"Here's one to me, and it just says ""Thanks.""",5,15
Chris Traeger,You're welcome.,5,15
Leslie Knope,"Oh, great, I got a new email about the parking lot at the Pawnee Commons.",5,15
Leslie Knope,I keep getting emails all the time!,5,15
Leslie Knope,I have to do well at this press conference!,5,15
Leslie Knope,Donna!,5,15
Donna Meagle,"Listen, freaky.",5,15
Donna Meagle,Every single one of my boyfriends has tried to hack into my email.,5,15
Donna Meagle,I've got an idea Everybody out.,5,15
Chris Traeger,"Ann Perkins, I see you behind that attractive purse.",5,15
Chris Traeger,You haven't returned any of my calls.,5,15
Ann Perkins,"Yeah, that's because, uh, I'm mortified.",5,15
Ann Perkins,I'm so sorry that I was so weird and blunt.,5,15
Chris Traeger,I am touched and honored that you would even consider me to be the father of your child.,5,15
Chris Traeger,And I'm glad that you came right out and said it.,5,15
Chris Traeger,"I mean, if we're really considering this, then we have to start at a place of complete honesty.",5,15
Ann Perkins,You're right.,5,15
Ann Perkins,And I'll start now.,5,15
Ann Perkins,You are a great specimen.,5,15
Ann Perkins,That's a terrible choice of words.,5,15
Ann Perkins,If my baby turned out to be anything like you I'd be lucky.,5,15
Chris Traeger,Can I have just a little bit of time to think about it?,5,15
Ann Perkins,"Of course, yes.",5,15
Ann Perkins,Take as much time as you want.,5,15
Ann Perkins,"Or just maybe, like, a couple days.",5,15
Ann Perkins,'Cause I'm getting antsy.,5,15
Ann Perkins,And I'm ovulating on Thursday.,5,15
Ann Perkins,"So, chop-chop.",5,15
Ann Perkins,But take your time.,5,15
Ann Perkins,"Wear loose pants! I gotta tell you, Ron.",5,15
Ann Perkins,You were absolutely and totally right.,5,15
Ron Swanson,I know.,5,15
Ron Swanson,Stop talking and get out.,5,15
Ann Perkins,Yep.,5,15
Jessica Wicks,The redneck ambulance is a great choice.,5,15
Jessica Wicks,We can release a publicity shot of a bucktoothed hayseed taking medicine for the first time in his life.,5,15
Ben Wyatt,We can figure out the photo later.,5,15
Jessica Wicks,"Oh, I forgot! It's Fondue Friday.",5,15
Jessica Wicks,Yay!,5,15
Ben Wyatt,"Yeah, also, as President of the foundation, I'm making a few changes.",5,15
Ben Wyatt,I'm giving up this office.,5,15
Ben Wyatt,And no more visits from a masseuse or fancy lunches.,5,15
Ben Wyatt,It's way out of hand.,5,15
Jessica Wicks,"Sweetie, all the money we spend on the foundation is tax deductible.",5,15
Ben Wyatt,"I know, and it's a huge waste of money.",5,15
Ben Wyatt,"I mean, there's plenty of cheap office space around.",5,15
Ben Wyatt,And I have an idea for how to use some of the money we'll save.,5,15
Jessica Wicks,Get yourself a matching nude portrait? I can call the painter.,5,15
Ben Wyatt,Please don't.,5,15
Leslie Knope,"First, I'd like you all to check under your chairs.",5,15
Leslie Knope,I think you might be surprised and excited by what you find.,5,15
Shauna Malwae-Tweep,Is it chocolate?,5,15
Leslie Knope,Even better.,5,15
Leslie Knope,It's dirt.,5,15
Leslie Knope,"The EPA has recently reviewed our soil samples, and they determined that we achieved, and I quote, ""Minimal acceptable standards.""",5,15
Leslie Knope,So not too shabby.,5,15
Kim Terlando,"Uh, Councilwoman Knope, you've claimed construction will take 18 months, but a source tells me it will be much longer.",5,15
Leslie Knope,I would I would deny that report.,5,15
Kim Terlando,I've also learned that the EPA found midi-chlorians in the soil.,5,15
Kim Terlando,"How serious is that, exactly?",5,15
Leslie Knope,"It's very serious, Kim.",5,15
Leslie Knope,"It's almost as serious as email hacking, which is what you have been doing to me for weeks.",5,15
Leslie Knope,I really thought you guys would gasp there.,5,15
Kim Terlando,That is a baseless accusation.,5,15
Leslie Knope,Midi-chlorians are a fictional substance found in the blood of Jedi knights from the movie Star Wars Episode 1: The Phantom Menace.,5,15
Leslie Knope,"Which, side-note, was a terrible movie.",5,15
Leslie Knope,"It almost destroyed the franchise, according to my husband.",5,15
Leslie Knope,But that is neither here nor there.,5,15
Donna Meagle,"The point is I sent Councilwoman Knope the fake email about the EPA finding midi-chlorians, an hour ago As a trap.",5,15
Donna Meagle,Into which you have fallen.,5,15
Kim Terlando,"Well I have never seen Star Wars, because I was too busy hooking up with guys.",5,15
Kim Terlando,Unlike you losers.,5,15
Donna Meagle,"Uh, you wanna compare numbers, Terlando? Get to steppin'.",5,15
Leslie Knope,"I would just like to point out that Kim Terlando stole all of my jokes for the Pawnee Correspondents' Lunch, and they were great jokes.",5,15
Leslie Knope,So I spent the whole night writing new ones.,5,15
Leslie Knope,"Lucky for you, let's get started.",5,15
Leslie Knope,I'm very excited to be here.,5,15
Leslie Knope,You know who else is excited to be here?,5,15
